Pokemon Name,Entropy,Average Pokemon Remaining
Gulpin,3.9678719762909664,75.47470318877288
Ampharos,3.9671431033160562,75.5128438689369
Thundurus Incarnate Forme,3.9666854992202976,75.53679935948261
Barbaracle,3.965943293607604,75.57566984740312
Regieleki,3.965813760674566,75.58245574282526
Litleo,3.964315455708851,75.66099236440515
Salazzle,3.964087301295532,75.67295868707448
Poliwhirl,3.9634681662033393,75.70544083862129
Wartortle,3.9624953811430577,75.7565049610854
Shuppet,3.9614740008660263,75.8101570456825
Shiinotic,3.9613075886390643,75.81890211261057
Wingull,3.9607182971464034,75.84987786215069
Honchkrow,3.959379078262149,75.92032015761136
Lucario,3.958430411740789,75.97025916004523
Eelektross,3.9581511942699614,75.98496377595235
Staryu,3.956921896625935,76.04973695490345
Shellos,3.9567013175680747,76.06136537346227
Deino,3.9559080545668586,76.10319906409066
Cherubi,3.9542429473711898,76.19108537184671
Nickit,3.9537647321755807,76.21634488488985
Fletchinder,3.953719196474152,76.21875053500818
Whimsicott,3.9522075018713094,76.29865644489956
Mothim,3.951827440068635,76.31875911666955
Gourgeist,3.951599830695068,76.33080063258699
Alolan Raticate,3.949451899617461,76.44452903969271
Medicham,3.9466842337050014,76.59132096853051
Dartrix,3.9454690848213714,76.65585925405865
Flaaffy,3.9452493031120293,76.66753797939765
Beldum,3.9422683212040366,76.82611676147292
Garbodor,3.9414844045661286,76.86787308190293
Vanillite,3.940793352009926,76.90470169981357
Alolan Grimer,3.93969114979735,76.96347844595398
Shroomish,3.93828534476646,77.03851050316815
Zweilous,3.9378062542299284,77.06409771962188
Toxapex,3.9284916595548687,77.56326287428251
Gallade,3.9283782885711416,77.56935825042144
Granbull,3.9282647211369133,77.57546466895215
Pyroar,3.926279117303736,77.68230650599152
Oranguru,3.924119152108656,77.79869752590739
Clobbopus,3.9208199805640707,77.97681205809553
Latias,3.919508825430105,78.04771142875795
Persian,3.9154465944064207,78.26778192496643
Altaria,3.9135516590029495,78.37065178397823
Shiftry,3.913316207204926,78.38344313362869
Sandile,3.9125208237013367,78.42666923820465
Sealeo,3.9115914423883646,78.4772078212371
Indeedee,3.9115719700737697,78.47826704938214
Trumbeak,3.911452137636735,78.48478584393285
Galvantula,3.9107540158336835,78.52277391329781
Tangela,3.910528765146886,78.53503477862287
Baltoy,3.907806052014088,78.6833892571012
Croagunk,3.9076592216114503,78.6913976728284
Lickitung,3.9074101236621956,78.70498582387226
Seel,3.9024916371771647,78.97376752901258
Spiritomb,3.8963207438308647,79.31228844046703
Nihilego,3.895593034701985,79.35230440604668
Tyrunt,3.893383117317025,79.47394925148076
Volcarona,3.8931516623618565,79.48670046671766
Mega Gallade,3.891815370954168,79.56035886214451
Unown,3.889122559725418,79.70899810195577
Lampent,3.8887768720419023,79.72809965812856
Porygon,3.8884897511352317,79.74396848811199
Togekiss,3.888034355825479,79.7691441214456
Mega Kangaskhan,3.887036849198443,79.82431708743407
Xatu,3.886465682711867,79.85592598593156
Calyrex,3.8863582370986904,79.8618735273071
Monferno,3.8862023899616362,79.87050107247309
Dustox,3.8847519426777,79.95084113243733
Mime Jr.,3.8834061429704314,80.02545705387423
Drowzee,3.882554864544698,80.07269090841147
Mega Mawile,3.8818903172392925,80.10958321542839
Cacturne,3.8807108442945375,80.17510345203237
Mega Altaria,3.8802921962462245,80.19837241751016
Mega Beedrill,3.8788309575732187,80.27964276753649
Toxicroak,3.8784143651080556,80.30282765583749
Stunfisk,3.8773536585167774,80.36189007463558
Kingler,3.8769227298294693,80.38589751578418
Eiscue,3.8762906945058635,80.4211217703794
Drapion,3.8757015339033725,80.45397045366205
Alolan Raichu,3.8737886132876587,80.56071798626388
Swampert,3.87315138036296,80.59630920935521
Pineco,3.8725054069049385,80.63240466443807
Gigalith,3.8713410080872688,80.69750932813558
Alolan Marowak,3.870691034212442,80.73387397103411
Trevenant,3.8685530635457352,80.85360448095551
Mareep,3.866145235895008,80.98866011580965
Hakamo-o,3.86598305198726,80.99776515557214
Kirlia,3.8619693453486916,81.22342193580835
Scraggy,3.8602945309212324,81.31776838197767
Lanturn,3.857945719862181,81.45026737419778
Hisuian Lilligant,3.8579432558334985,81.45040648604103
Skorupi,3.857759421154492,81.46078592378564
Mega Lucario,3.85701274995933,81.50295711264269
Wugtrio,3.856118899401647,81.55346954566188
Tangrowth,3.8554666379764733,81.59034927940552
Cramorant,3.853170552273093,81.72030577419517
Shieldon,3.851852437761421,81.79500343407699
Mega Gengar,3.851687119491735,81.80437685176902
Lunatone,3.8513689175610217,81.8224216781259
Gible,3.8482121886338283,82.0016515118135
Mega Diancie,3.8468789152003002,82.07746875325267
Vullaby,3.8454385060402916,82.15945709661332
Zygarde 10% Forme,3.844215418469085,82.22913975022708
Psyduck,3.8441177560332345,82.23470639437653
Alolan Dugtrio,3.842617892586176,82.32024419904165
Genesect,3.8418225194086237,82.36564074112877
Spewpa,3.8401939632438684,82.45866997156257
Skrelp,3.8385557264173764,82.55235821004506
Swadloon,3.8355514459557885,82.72444506045807
Cradily,3.834829136937879,82.76587278533127
Goldeen,3.8348122212515996,82.7668432258657
Passimian,3.8348116046047678,82.76687860265781
Numel,3.8325745951970824,82.89531455059846
Eldegoss,3.82937418536441,83.07940990937024
Electivire,3.8288151115121356,83.11161111979384
Wailmer,3.8287305896249846,83.11648044823629
Arrokuda,3.827871981631616,83.16596125510914
Vibrava,3.826970160558698,83.21796411120542
Ninjask,3.8266429450473964,83.23684079419057
Gabite,3.8245216638413737,83.35931894409862
Archen,3.824104948450073,83.38340035252723
Krookodile,3.82359366382793,83.41295629084807
Magikarp,3.8228100298299723,83.45827632184395
Mega Gardevoir,3.8179575369306256,83.73946016222581
Snubbull,3.8164476990156517,83.8271427216218
Weavile,3.8153743443144816,83.88953271695716
Seaking,3.814526505470106,83.93884716371252
Amaura,3.8144103208660662,83.94560728567221
Mega Latias,3.812690180331183,84.04575621231298
Chewtle,3.8123076114617462,84.06804612982812
Oinkologne,3.8111012617283246,84.13837137159388
Wimpod,3.8105819623613515,84.1686625047607
Chansey,3.8101180834415502,84.19573014196315
Solrock,3.805648512100213,84.45697894746255
Pachirisu,3.805203548246196,84.48303164587935
Ponyta,3.804667059837535,84.51445380663532
Type: Null,3.8029033972440156,84.61783402345156
Magearna,3.8018348076752058,84.68053281128194
Spectrier,3.798300080681189,84.88826177643013
Noivern,3.7960977151748394,85.0179480554337
Chesnaught,3.795731492753896,85.039532264169
Ogerpon,3.7946851534063892,85.10123101629122
Alolan Sandshrew,3.79450623084338,85.11178589737887
Meditite,3.794070383609542,85.13750258690139
Alolan Sandslash,3.7930316197342115,85.19882504630651
Combusken,3.791175691668273,85.30849801034219
Decidueye,3.7904681027248124,85.35034895852446
Palafin Zero Form,3.788649668765666,85.45799598198424
Finizen,3.788649668765666,85.45799598198424
Marowak,3.787817096813619,85.50732758887033
Bisharp,3.7852875293772796,85.65738444725773
Glalie,3.783681295533941,85.75280475811736
Girafarig,3.7832538769884274,85.77821398734754
Hisuian Electrode,3.7829600637321503,85.79568499970657
Sawsbuck,3.7811883918155265,85.90110934160121
Galarian Linoone,3.7808507440695274,85.92121595420448
Drednaw,3.7800554191124522,85.96859542440421
Mega Ampharos,3.7796552980831315,85.99244149883631
Seviper,3.7795909561198733,85.99627671399703
Oricorio Pa'u Style,3.777928538258105,86.09542736016657
Cyndaquil,3.7763522432517145,86.1895470147262
Weezing,3.7735082213348816,86.35962227191956
Litten,3.772606018600435,86.4136449533013
Primarina,3.771103927878437,86.50366309756288
Froslass,3.770008701069145,86.5693575782859
Slaking,3.7664016369638356,86.78607136801703
Meganium,3.7663927735613068,86.786604552249
Primeape,3.7645930447902187,86.8949363953811
Alolan Graveler,3.764224470609192,86.91713881554242
Kadabra,3.763057751820813,86.98745781694882
Abra,3.7617248667834184,87.06786140453735
Hoopa Confined,3.760673697954557,87.1313234460074
Claydol,3.7604755875626457,87.1432891112246
Typhlosion,3.759765439852342,87.18619481126431
Gardevoir,3.7554039308511493,87.45017211921927
Pheromosa,3.755349802588347,87.45345321090099
Muk,3.7553171459130406,87.45543281938967
Durant,3.754993655674167,87.47504483029988
Alakazam,3.754682941436375,87.49388642064295
Sandygast,3.754262904266633,87.51936376258686
Pawniard,3.7490779992811656,87.83446568647211
Alolan Meowth,3.748967472968151,87.84119503068754
Sandslash,3.7486343231422405,87.86148182529325
Stunky,3.748325292099304,87.88030412163856
Grubbin,3.748134816084329,87.89190754073383
Swirlix,3.744088813721856,88.13874417138116
Greavard,3.7425486816396436,88.23288588960752
Poliwag,3.742209105200335,88.25365627752726
Ninetales,3.741328955728884,88.30751388824054
